"density","qcloud","qrain","qvapor","theta","velocity:0","velocity:1","velocity:2","Points:0","Points:1","Points:2"
0,0,0,0,0,0,0,0,0,6000,0
0,0,0,0,0,0,0,0,250.42,6000,0
0,0,0,0,0,0,0,0,500.83,6000,0
0,0,0,0,0,0,0,0,751.25,6000,0
0,0,0,0,0,0,0,0,1001.7,6000,0
0,0,0,0,0,0,0,0,1252.1,6000,0
0,0,0,0,0,0,0,0,1502.5,6000,0
0,0,0,0,0,0,0,0,1752.9,6000,0
0,0,0,0,0,0,0,0,2003.3,6000,0
0,0,0,0,0,0,0,0,2253.8,6000,0
0,0,0,0,0,0,0,0,2504.2,6000,0
0,0,0,0,0,0,0,0,2754.6,6000,0
0,0,0,0,0,0,0,0,3005,6000,0
0,0,0,0,0,0,0,0,3255.4,6000,0
0,0,0,0,0,0,0,0,3505.8,6000,0
0,0,0,0,0,0,0,0,3756.3,6000,0
0,0,0,0,0,0,0,0,4006.7,6000,0
0,0,0,0,0,0,0,0,4257.1,6000,0
0,0,0,0,0,0,0,0,4507.5,6000,0
0,0,0,0,0,0,0,0,4757.9,6000,0
0,0,0,0,0,0,0,0,5008.3,6000,0
0,0,0,0,0,0,0,0,5258.8,6000,0
0,0,0,0,0,0,0,0,5509.2,6000,0
0,0,0,0,0,0,0,0,5759.6,6000,0
0,0,0,0,0,0,0,0,6010,6000,0
0,0,0,0,0,0,0,0,6260.4,6000,0
0,0,0,0,0,0,0,0,6510.9,6000,0
0,0,0,0,0,0,0,0,6761.3,6000,0
0,0,0,0,0,0,0,0,7011.7,6000,0
0,0,0,0,0,0,0,0,7262.1,6000,0
0,0,0,0,0,0,0,0,7512.5,6000,0
0,0,0,0,0,0,0,0,7762.9,6000,0
0,0,0,0,0,0,0,0,8013.4,6000,0
0,0,0,0,0,0,0,0,8263.8,6000,0
0,0,0,0,0,0,0,0,8514.2,6000,0
0,0,0,0,0,0,0,0,8764.6,6000,0
0,0,0,0,0,0,0,0,9015,6000,0
0,0,0,0,0,0,0,0,9265.4,6000,0
0,0,0,0,0,0,0,0,9515.9,6000,0
0,0,0,0,0,0,0,0,9766.3,6000,0
0,0,0,0,0,0,0,0,10017,6000,0
0,0,0,0,0,0,0,0,10267,6000,0
0,0,0,0,0,0,0,0,10518,6000,0
0,0,0,0,0,0,0,0,10768,6000,0
0,0,0,0,0,0,0,0,11018,6000,0
0,0,0,0,0,0,0,0,11269,6000,0
0,0,0,0,0,0,0,0,11519,6000,0
0,0,0,0,0,0,0,0,11770,6000,0
0,0,0,0,0,0,0,0,12020,6000,0
0,0,0,0,0,0,0,0,12270,6000,0
0,0,0,0,0,0,0,0,12521,6000,0
0,0,0,0,0,0,0,0,12771,6000,0
0,0,0,0,0,0,0,0,13022,6000,0
0,0,0,0,0,0,0,0,13272,6000,0
0,0,0,0,0,0,0,0,13523,6000,0
0,0,0,0,0,0,0,0,13773,6000,0
0,0,0,0,0,0,0,0,14023,6000,0
0,0,0,0,0,0,0,0,14274,6000,0
0,0,0,0,0,0,0,0,14524,6000,0
0,0,0,0,0,0,0,0,14775,6000,0
0,0,0,0,0,0,0,0,15025,6000,0
0,0,0,0,0,0,0,0,15275,6000,0
0,0,0,0,0,0,0,0,15526,6000,0
0,0,0,0,0,0,0,0,15776,6000,0
0,0,0,0,0,0,0,0,16027,6000,0
0,0,0,0,0,0,0,0,16277,6000,0
0,0,0,0,0,0,0,0,16528,6000,0
0,0,0,0,0,0,0,0,16778,6000,0
0,0,0,0,0,0,0,0,17028,6000,0
0,0,0,0,0,0,0,0,17279,6000,0
0,0,0,0,0,0,0,0,17529,6000,0
0,0,0,0,0,0,0,0,17780,6000,0
0,0,0,0,0,0,0,0,18030,6000,0
0,0,0,0,0,0,0,0,18280,6000,0
0,0,0,0,0,0,0,0,18531,6000,0
0,0,0,0,0,0,0,0,18781,6000,0
0,0,0,0,0,0,0,0,19032,6000,0
0,0,0,0,0,0,0,0,19282,6000,0
0,0,0,0,0,0,0,0,19533,6000,0
0,0,0,0,0,0,0,0,19783,6000,0
0,0,0,0,0,0,0,0,20033,6000,0
0,0,0,0,0,0,0,0,20284,6000,0
0,0,0,0,0,0,0,0,20534,6000,0
0,0,0,0,0,0,0,0,20785,6000,0
0,0,0,0,0,0,0,0,21035,6000,0
0,0,0,0,0,0,0,0,21285,6000,0
0,0,0,0,0,0,0,0,21536,6000,0
0,0,0,0,0,0,0,0,21786,6000,0
0,0,0,0,0,0,0,0,22037,6000,0
0,0,0,0,0,0,0,0,22287,6000,0
0,0,0,0,0,0,0,0,22538,6000,0
0,0,0,0,0,0,0,0,22788,6000,0
0,0,0,0,0,0,0,0,23038,6000,0
0,0,0,0,0,0,0,0,23289,6000,0
0,0,0,0,0,0,0,0,23539,6000,0
0,0,0,0,0,0,0,0,23790,6000,0
0,0,0,0,0,0,0,0,24040,6000,0
0,0,0,0,0,0,0,0,24290,6000,0
0,0,0,0,0,0,0,0,24541,6000,0
0,0,0,0,0,0,0,0,24791,6000,0
0,0,0,0,0,0,0,0,25042,6000,0
0,0,0,0,0,0,0,0,25292,6000,0
0,0,0,0,0,0,0,0,25543,6000,0
0,0,0,0,0,0,0,0,25793,6000,0
0,0,0,0,0,0,0,0,26043,6000,0
0,0,0,0,0,0,0,0,26294,6000,0
0,0,0,0,0,0,0,0,26544,6000,0
0,0,0,0,0,0,0,0,26795,6000,0
0,0,0,0,0,0,0,0,27045,6000,0
0,0,0,0,0,0,0,0,27295,6000,0
0,0,0,0,0,0,0,0,27546,6000,0
0,0,0,0,0,0,0,0,27796,6000,0
0,0,0,0,0,0,0,0,28047,6000,0
0,0,0,0,0,0,0,0,28297,6000,0
0,0,0,0,0,0,0,0,28548,6000,0
0,0,0,0,0,0,0,0,28798,6000,0
0,0,0,0,0,0,0,0,29048,6000,0
0,0,0,0,0,0,0,0,29299,6000,0
0,0,0,0,0,0,0,0,29549,6000,0
0,0,0,0,0,0,0,0,29800,6000,0
0,0,0,0,0,0,0,0,30050,6000,0
0,0,0,0,0,0,0,0,30300,6000,0
0,0,0,0,0,0,0,0,30551,6000,0
0,0,0,0,0,0,0,0,30801,6000,0
0,0,0,0,0,0,0,0,31052,6000,0
0,0,0,0,0,0,0,0,31302,6000,0
0,0,0,0,0,0,0,0,31553,6000,0
0,0,0,0,0,0,0,0,31803,6000,0
0,0,0,0,0,0,0,0,32053,6000,0
0,0,0,0,0,0,0,0,32304,6000,0
0,0,0,0,0,0,0,0,32554,6000,0
0,0,0,0,0,0,0,0,32805,6000,0
0,0,0,0,0,0,0,0,33055,6000,0
0,0,0,0,0,0,0,0,33306,6000,0
0,0,0,0,0,0,0,0,33556,6000,0
0,0,0,0,0,0,0,0,33806,6000,0
0,0,0,0,0,0,0,0,34057,6000,0
0,0,0,0,0,0,0,0,34307,6000,0
0,0,0,0,0,0,0,0,34558,6000,0
0,0,0,0,0,0,0,0,34808,6000,0
0,0,0,0,0,0,0,0,35058,6000,0
0,0,0,0,0,0,0,0,35309,6000,0
