"density","qcloud","qrain","qvapor","theta","velocity:0","velocity:1","velocity:2","Points:0","Points:1","Points:2"
0,0,0,0,0,0,0,0,0,6000,0
0,0,0,0,0,0,0,0,250.39,6000,0
0,0,0,0,0,0,0,0,500.78,6000,0
0,0,0,0,0,0,0,0,751.17,6000,0
0,0,0,0,0,0,0,0,1001.6,6000,0
0,0,0,0,0,0,0,0,1252,6000,0
0,0,0,0,0,0,0,0,1502.3,6000,0
0,0,0,0,0,0,0,0,1752.7,6000,0
0,0,0,0,0,0,0,0,2003.1,6000,0
0,0,0,0,0,0,0,0,2253.5,6000,0
0,0,0,0,0,0,0,0,2503.9,6000,0
0,0,0,0,0,0,0,0,2754.3,6000,0
0,0,0,0,0,0,0,0,3004.7,6000,0
0,0,0,0,0,0,0,0,3255.1,6000,0
0,0,0,0,0,0,0,0,3505.5,6000,0
0,0,0,0,0,0,0,0,3755.9,6000,0
0,0,0,0,0,0,0,0,4006.3,6000,0
0,0,0,0,0,0,0,0,4256.7,6000,0
0,0,0,0,0,0,0,0,4507,6000,0
0,0,0,0,0,0,0,0,4757.4,6000,0
0,0,0,0,0,0,0,0,5007.8,6000,0
0,0,0,0,0,0,0,0,5258.2,6000,0
0,0,0,0,0,0,0,0,5508.6,6000,0
0,0,0,0,0,0,0,0,5759,6000,0
0,0,0,0,0,0,0,0,6009.4,6000,0
0,0,0,0,0,0,0,0,6259.8,6000,0
0,0,0,0,0,0,0,0,6510.2,6000,0
0,0,0,0,0,0,0,0,6760.6,6000,0
0,0,0,0,0,0,0,0,7011,6000,0
0,0,0,0,0,0,0,0,7261.3,6000,0
0,0,0,0,0,0,0,0,7511.7,6000,0
0,0,0,0,0,0,0,0,7762.1,6000,0
0,0,0,0,0,0,0,0,8012.5,6000,0
0,0,0,0,0,0,0,0,8262.9,6000,0
0,0,0,0,0,0,0,0,8513.3,6000,0
0,0,0,0,0,0,0,0,8763.7,6000,0
0,0,0,0,0,0,0,0,9014.1,6000,0
0,0,0,0,0,0,0,0,9264.5,6000,0
0,0,0,0,0,0,0,0,9514.9,6000,0
0,0,0,0,0,0,0,0,9765.3,6000,0
0,0,0,0,0,0,0,0,10016,6000,0
0,0,0,0,0,0,0,0,10266,6000,0
0,0,0,0,0,0,0,0,10516,6000,0
0,0,0,0,0,0,0,0,10767,6000,0
0,0,0,0,0,0,0,0,11017,6000,0
0,0,0,0,0,0,0,0,11268,6000,0
0,0,0,0,0,0,0,0,11518,6000,0
0,0,0,0,0,0,0,0,11768,6000,0
0,0,0,0,0,0,0,0,12019,6000,0
0,0,0,0,0,0,0,0,12269,6000,0
0,0,0,0,0,0,0,0,12520,6000,0
0,0,0,0,0,0,0,0,12770,6000,0
0,0,0,0,0,0,0,0,13020,6000,0
0,0,0,0,0,0,0,0,13271,6000,0
0,0,0,0,0,0,0,0,13521,6000,0
0,0,0,0,0,0,0,0,13772,6000,0
0,0,0,0,0,0,0,0,14022,6000,0
0,0,0,0,0,0,0,0,14272,6000,0
0,0,0,0,0,0,0,0,14523,6000,0
0,0,0,0,0,0,0,0,14773,6000,0
0,0,0,0,0,0,0,0,15023,6000,0
0,0,0,0,0,0,0,0,15274,6000,0
0,0,0,0,0,0,0,0,15524,6000,0
0,0,0,0,0,0,0,0,15775,6000,0
0,0,0,0,0,0,0,0,16025,6000,0
0,0,0,0,0,0,0,0,16275,6000,0
0,0,0,0,0,0,0,0,16526,6000,0
0,0,0,0,0,0,0,0,16776,6000,0
0,0,0,0,0,0,0,0,17027,6000,0
0,0,0,0,0,0,0,0,17277,6000,0
0,0,0,0,0,0,0,0,17527,6000,0
0,0,0,0,0,0,0,0,17778,6000,0
0,0,0,0,0,0,0,0,18028,6000,0
0,0,0,0,0,0,0,0,18279,6000,0
0,0,0,0,0,0,0,0,18529,6000,0
0,0,0,0,0,0,0,0,18779,6000,0
0,0,0,0,0,0,0,0,19030,6000,0
0,0,0,0,0,0,0,0,19280,6000,0
0,0,0,0,0,0,0,0,19531,6000,0
0,0,0,0,0,0,0,0,19781,6000,0
0,0,0,0,0,0,0,0,20031,6000,0
0,0,0,0,0,0,0,0,20282,6000,0
0,0,0,0,0,0,0,0,20532,6000,0
0,0,0,0,0,0,0,0,20782,6000,0
0,0,0,0,0,0,0,0,21033,6000,0
0,0,0,0,0,0,0,0,21283,6000,0
0,0,0,0,0,0,0,0,21534,6000,0
0,0,0,0,0,0,0,0,21784,6000,0
0,0,0,0,0,0,0,0,22034,6000,0
0,0,0,0,0,0,0,0,22285,6000,0
0,0,0,0,0,0,0,0,22535,6000,0
0,0,0,0,0,0,0,0,22786,6000,0
0,0,0,0,0,0,0,0,23036,6000,0
0,0,0,0,0,0,0,0,23286,6000,0
0,0,0,0,0,0,0,0,23537,6000,0
0,0,0,0,0,0,0,0,23787,6000,0
0,0,0,0,0,0,0,0,24038,6000,0
